"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"May 2014","1.245,60","1.288,70","1.314,20","1.241,80","42,32K","-3,86%"
"Abr 2014","1.295,60","1.285,10","1.330,00","1.272,40","7,94K","0,95%"
"Mar 2014","1.283,40","1.335,90","1.391,40","1.282,40","70,78K","-2,88%"
"Feb 2014","1.321,40","1.242,40","1.344,00","1.241,20","11,52K","6,56%"
"Ene 2014","1.240,10","1.204,30","1.269,40","1.204,30","52,67K","3,18%"
"Dic 2013","1.201,90","1.251,40","1.267,00","1.182,00","14,56K","-3,89%"
"Nov 2013","1.250,60","1.325,70","1.325,70","1.229,00","92,25K","-5,52%"
"Oct 2013","1.323,60","1.328,00","1.359,70","1.254,10","2,56K","-0,22%"
"Sep 2013","1.326,50","1.393,00","1.414,40","1.292,10","4,59K","-4,99%"
"Ago 2013","1.396,10","1.323,00","1.428,00","1.274,00","10,14K","6,38%"
"Jul 2013","1.312,40","1.234,70","1.345,10","1.208,90","51,81K","7,24%"
"Jun 2013","1.223,80","1.389,10","1.422,70","1.183,20","12,13K","-12,12%"
"May 2013","1.392,60","1.475,80","1.487,10","1.342,90","53,45K","-5,41%"
"Abr 2013","1.472,20","1.596,80","1.602,60","1.323,00","14,30K","-7,69%"
"Mar 2013","1.594,80","1.579,60","1.613,10","1.561,80","58,37K","1,08%"
"Feb 2013","1.577,70","1.663,90","1.683,40","1.554,50","10,81K","-4,99%"
"Ene 2013","1.660,60","1.672,80","1.694,70","1.625,70","51,88K","-0,85%"
"Dic 2012","1.674,80","1.714,90","1.722,30","1.635,80","6,82K","-2,11%"
"Nov 2012","1.710,90","1.722,30","1.750,50","1.674,30","69,65K","-0,38%"
"Oct 2012","1.717,50","1.766,00","1.794,80","1.698,60","2,63K","-3,03%"
"Sep 2012","1.771,10","1.689,10","1.785,30","1.687,70","10,33K","5,13%"
"Ago 2012","1.684,60","1.613,40","1.690,00","1.583,10","11,42K","4,60%"
"Jul 2012","1.610,50","1.597,10","1.627,50","1.557,20","59,61K","0,44%"
"Jun 2012","1.603,50","1.560,00","1.639,70","1.545,50","10,99K","2,62%"
"May 2012","1.562,60","1.665,00","1.670,50","1.528,50","86,46K","-6,06%"
"Abr 2012","1.663,40","1.670,40","1.682,80","1.613,00","9,55K","-0,35%"
"Mar 2012","1.669,30","1.698,60","1.724,60","1.633,80","61,45K","-2,37%"
"Feb 2012","1.709,90","1.738,20","1.790,40","1.669,00","8,89K","-1,61%"
"Ene 2012","1.737,80","1.568,90","1.747,70","1.566,00","62,70K","10,98%"
"Dic 2011","1.565,80","1.747,00","1.762,90","1.525,00","10,60K","-10,30%"
"Nov 2011","1.745,50","1.706,70","1.797,00","1.674,40","81,48K","1,24%"
"Oct 2011","1.724,20","1.627,80","1.752,00","1.596,60","2,24K","6,41%"
"Sep 2011","1.620,40","1.825,80","1.911,60","1.562,40","10,61K","-11,38%"
"Ago 2011","1.828,50","1.623,00","1.909,30","1.607,00","24,85K","12,30%"
"Jul 2011","1.628,30","1.502,20","1.634,90","1.480,00","77,74K","8,39%"
"Jun 2011","1.502,30","1.535,70","1.558,50","1.490,70","14,69K","-2,19%"
"May 2011","1.535,90","1.572,90","1.576,60","1.471,00","84,31K","-1,29%"
"Abr 2011","1.556,00","1.433,40","1.568,70","1.413,00","15,55K","8,14%"
"Mar 2011","1.438,90","1.415,30","1.446,90","1.385,50","58,55K","2,10%"
"Feb 2011","1.409,30","1.333,10","1.415,70","1.324,90","13,73K","5,66%"
"Ene 2011","1.333,80","1.415,60","1.423,90","1.307,70","88,70K","-6,14%"
"Dic 2010","1.421,10","1.386,80","1.431,10","1.362,50","16,14K","2,61%"
"Nov 2010","1.385,00","1.360,30","1.423,20","1.327,50","106,91K","2,06%"
"Oct 2010","1.357,10","1.309,00","1.383,90","1.309,00","3,17K","3,77%"
"Sep 2010","1.307,80","1.252,30","1.315,20","1.239,00","8,09K","4,77%"
"Ago 2010","1.248,30","1.181,80","1.249,40","1.174,70","8,71K","5,64%"
"Jul 2010","1.181,70","1.241,70","1.242,40","1.158,70","60,70K","-5,12%"
"Jun 2010","1.245,50","1.217,00","1.264,80","1.196,90","16,40K","2,75%"
"May 2010","1.212,20","1.178,60","1.246,50","1.159,20","124,17K","2,72%"
"Abr 2010","1.180,10","1.112,90","1.181,30","1.111,30","8,60K","6,00%"
"Mar 2010","1.113,30","1.119,30","1.145,00","1.085,50","63,87K","-0,45%"
"Feb 2010","1.118,30","1.081,00","1.127,40","1.045,20","17,64K","3,26%"
"Ene 2010","1.083,00","1.097,10","1.161,20","1.073,20","113,97K","-1,11%"
"Dic 2009","1.095,20","1.181,00","1.226,40","1.075,00","23,25K","-7,27%"
"Nov 2009","1.181,10","1.043,50","1.195,00","1.043,50","127,74K","13,60%"
"Oct 2009","1.039,70","1.007,40","1.070,20","986,80","3,43K","3,14%"
"Sep 2009","1.008,00","954,20","1.019,80","948,70","8,65K","5,92%"
"Ago 2009","951,70","952,60","971,10","931,50","7,37K","-0,21%"
"Jul 2009","953,70","929,30","958,10","905,60","48,33K","2,87%"
"Jun 2009","927,10","978,80","990,30","917,30","12,65K","-5,28%"
"May 2009","978,80","884,00","980,40","881,50","83,23K","9,89%"
"Abr 2009","890,70","918,60","932,50","865,00","17,10K","-3,46%"
"Mar 2009","922,60","945,00","960,80","885,00","71,42K","-2,01%"
"Feb 2009","941,50","929,00","1.004,90","889,80","13,41K","1,53%"
"Ene 2009","927,30","881,50","930,30","805,60","78,17K","4,95%"
"Dic 2008","883,60","817,20","882,90","740,00","9,30K","8,26%"
"Nov 2008","816,20","728,80","824,00","707,00","60,05K","13,87%"
"Oct 2008","716,80","878,00","925,70","681,00","3,28K","-18,01%"
"Sep 2008","874,20","829,90","919,00","739,00","5,17K","5,41%"
"Ago 2008","829,30","904,90","916,10","780,90","8,86K","-9,26%"
"Jul 2008","913,90","943,60","986,20","893,30","103,25K","-1,33%"
"Jun 2008","926,20","887,30","933,70","858,20","9,30K","4,38%"
"May 2008","887,30","855,00","924,70","849,60","71,91K","2,84%"
"Abr 2008","862,80","915,00","948,70","863,00","13,22K","-5,83%"
"Mar 2008","916,20","984,20","1.014,60","912,00","70,80K","-5,75%"
"Feb 2008","972,10","924,80","973,10","884,70","8,00K","5,35%"
"Ene 2008","922,70","848,70","936,30","846,40","74,15K","10,52%"
"Dic 2007","834,90","783,90","843,20","777,00","7,59K","6,74%"
"Nov 2007","782,20","785,30","841,30","777,60","73,99K","-1,24%"
"Oct 2007","792,00","745,10","795,40","724,30","2,76K","6,62%"
"Sep 2007","742,80","678,60","745,70","678,60","14,45K","10,37%"
"Ago 2007","673,00","663,20","676,20","642,90","8,32K","0,91%"
"Jul 2007","666,90","656,80","668,30","655,70","42,41K","2,90%"
"Jun 2007","648,10","661,50","674,00","640,00","4,47K","-1,95%"
"May 2007","661,00","673,70","673,70","651,50","58,01K","-2,87%"
"Abr 2007","680,50","665,50","692,50","656,10","4,50K","2,64%"
"Mar 2007","663,00","673,00","673,00","640,00","42,72K","-0,96%"
"Feb 2007","669,40","652,90","687,70","642,00","3,95K","2,67%"
"Ene 2007","652,00","640,40","655,50","607,00","30,45K","2,64%"
"Dic 2006","635,20","645,70","649,50","612,00","3,80K","-1,81%"
"Nov 2006","646,90","612,50","648,00","612,50","31,48K","7,08%"
"Oct 2006","604,10","598,90","608,90","560,50","6,53K","0,92%"
"Sep 2006","598,60","591,00","606,20","584,00","9,51K","-4,36%"
"Ago 2006","625,90","635,40","656,00","609,00","5,03K","-1,31%"
"Jul 2006","634,20","624,00","677,00","624,00","31,59K","3,37%"
